"verb";"meanings"
"suponer";"<li>m. <span class=""i"">col.</span> Suposición, conjetura:<br><span class=""i"">no estoy segura, es solo un suponer.</span><br></li>"
"suprimir";"<li>tr. Eliminar, hacer desaparecer:<br><span class=""i"">la represión suprimió todo intento de revuelta.</span> </li><li> Omitir, callar, pasar por alto:<br><span class=""i"">suprima los detalles innecesarios.</span><br></li>"
"supurar";"<li>intr. Producir o expulsar pus:<br><span class=""i"">uno de los oídos le supura.</span><br></li>"
"surcar";"<li>tr. Hacer surcos en la tierra al ararla. </li><li> Marcar o formar rayas en alguna cosa:<br><span class=""i"">una cicatriz surcaba su rostro.</span> </li><li> Trasladarse por un fluido, como el agua o el aire, rompiéndolo o cortándolo:<br><span class=""i"">la nave surca el mar.</span><br> ♦ Se conj. como <span class=""b"">sacar</span>.<br></li>"
"surgir";"<li>intr. Manifestarse, aparecer:<br><span class=""i"">ha surgido un nuevo deporte.</span> </li><li> Brotar el agua:<br><span class=""i"">el agua del géiser surge a elevadas temperaturas.</span><br> ♦ Se conj. como <span class=""b"">rugir</span>. Tiene doble p. p.: uno reg., <span class=""i"">surgido, </span> y otro irreg., <span class=""i"">surto.</span><br></li>"
"surtir";"<li>tr. y prnl. Abastecer, proveer a alguien de algo que necesita:<br><span class=""i"">el ferrocarril surtía de carbón a la ciudad.</span> </li><li> intr. Brotar o manar el agua hacia arriba:<br><span class=""i"">las fuentes surtían cantarinas.</span><br></li>"
"suscitar";"<li>tr. Causar, promover o provocar:<br><span class=""i"">su actuación suscita sospechas.</span><br></li>"
"suscribir";"<li>tr. Firmar al pie o al final de un escrito:<br><span class=""i"">el que suscribe afirma la veracidad de lo expuesto.</span> </li><li> Convenir, estar de acuerdo con la decisión u opinión de otra persona:<br><span class=""i"">suscribo sus palabras.</span> </li><li> tr. y prnl. Abonarse para recibir una publicación periódica:<br><span class=""i"">me he suscrito a unos fascículos de historia.</span> </li><li> prnl. Comprometerse a contribuir a una sociedad, obra o entidad con determinados pagos.<br> ♦ Su p. p. es irreg.:<br><span class=""i"">suscrito.</span><br></li>"
"suspender";"<li>tr. Levantar, colgar una cosa en algo o en el aire:<br><span class=""i"">suspendió el cubo de un gancho.</span> </li><li> Detener, diferir. También prnl.:<br><span class=""i"">se ha suspendido el concierto.</span> </li><li> Causar admiración, maravillar:<br><span class=""i"">me suspende tanta indignación.</span> </li><li> Privar temporalmente a uno del sueldo o empleo. </li><li> No dar a alguien la puntuación necesaria para pasar un examen:<br><span class=""i"">ha suspendido la selectividad.</span> También intr.<br> ♦ Tiene doble p. p.: uno reg., <span class=""i"">suspendido, </span> y otro irreg., <span class=""i"">suspenso.</span><br></li>"
"suspirar";"<li>intr. Dar suspiros:<br><span class=""i"">suspiró mientras leía su carta.</span> </li><li> <span class=""b"">suspirar por</span> algo o <span class=""b"">por</span> alguien loc. Desearlo intensamente:<br><span class=""i"">siempre está suspirando por un chalé en la playa.</span><br></li>"
"sustantivar";"<li>tr. y prnl.<span class=""ac""> gram.</span> Dar a una palabra, sintagma u oración valor y función de sustantivo:<br><span class=""i"">el artículo puede sustantivar cualquier palabra.</span><br></li>"
"sustentar";"<li>tr. Sostener un cuerpo a otro:<br><span class=""i"">las columnas sustentaban la techumbre.</span> </li><li> Defender, mantener una opinión o teoría:<br><span class=""i"">sustenta el marxismo como bandera ideológica.</span> </li><li> tr. y prnl. Alimentar, proporcionar lo necesario para vivir:<br><span class=""i"">se sustenta solo de frutas y verduras.</span> </li><li> Basar o fundamentar una cosa en otra:<br><span class=""i"">sus opiniones se sustentan en la experiencia.</span><br></li>"
"sustituir";"<li>tr. Colocar a una persona o cosa en lugar de otra para que la reemplace:<br><span class=""i"">para leer el código basta con sustituir cada letra por la siguiente en el alfabeto.</span><br> ♦ <span class=""b"">Irreg.</span> Se conj. como <span class=""b"">huir</span>. Tiene doble p. p.: uno reg., <span class=""i"">sustituido, </span> y otro irreg., <span class=""i"">sustituto.</span><br></li>"
"sustraer";"<li>tr. Hurtar, robar:<br><span class=""i"">sustrajo varias carteras en una tarde.</span> </li><li> <span class=""ac"">mat.</span> <span class=""b"">restar, </span> hallar la diferencia entre dos cantidades. </li><li> prnl. Desentenderse de una obligación o un compromiso:<br><span class=""i"">se sustrajo de dar su opinión.</span><br> ♦ <span class=""b"">Irreg.</span> Se conj. como <span class=""b"">traer</span>.<br></li>"
"susurrar";"<li>intr. Hablar en voz muy baja. También tr.:<br><span class=""i"">le susurró palabras de amor.</span> </li><li> Moverse produciendo un ruido suave:<br><span class=""i"">el arroyo susurraba junto al puente.</span><br></li>"
"sutilizar";"<li>tr. Adelgazar, atenuar:<br><span class=""i"">sutilizar un trazo.</span> </li><li> Limar, pulir o perfeccionar:<br><span class=""i"">si sutiliza sus gestos será un gran actor.</span> </li><li> Discurrir ingeniosamente:<br><span class=""i"">su artículo sutiliza los términos hasta lo quevedesco.</span><br> ♦ Se conj. como <span class=""b"">cazar</span>.<br></li>"
"suturar";"<li>tr. Coser una herida:<br><span class=""i"">el cirujano suturó la incisión.</span><br></li>"
"tabalear";"<li>tr. y prnl. Mecer, balancear de una parte a otra:<br><span class=""i"">su abuela se tabaleaba en la mecedora.</span> </li><li> intr. Golpear con los dedos en una superficie imitando el toque del tambor:<br><span class=""i"">si sigues tabaleando, me vas a volver loco.</span><br></li>"
"tabular";"<li>adj. De forma o estructura de tabla:<br><span class=""i"">ficheros en formato tabular.</span><br></li>"
"tacar";""
"tachar";"<li>tr. Borrar o rectificar lo escrito con rayas o trazos:<br><span class=""i"">tacha la fecha y pon la de hoy.</span> </li><li> Censurar, atribuir una tacha a alguien:<br><span class=""i"">le tachan de ser excesivamente severo.</span><br></li>"
"taconear";"<li>intr. Pisar haciendo ruido con los tacones:<br><span class=""i"">la oyeron taconear en el pasillo.</span> </li><li> Golpear rítmicamente el suelo con los tacones, en especial al bailar.<br></li>"
"tajar";"<li>tr. Dividir en dos o más partes con un instrumento cortante:<br><span class=""i"">tajar la carne.</span> </li><li> prnl. <span class=""i"">col.</span> Emborracharse:<br><span class=""i"">el novio se tajó en el banquete.</span><br></li>"
"taladrar";"<li>tr. Horadar o perforar con un taladro o instrumento similar:<br><span class=""i"">el berbiquí taladró el listón.</span> </li><li> Herir los oídos algún sonido agudo. </li><li> Provocar un dolor agudo o gran sufrimiento.<br></li>"
"talar";"<li>adj. [Traje o vestidura] que llega hasta los talones:<br><span class=""i"">el convento conserva las vestiduras talares del fundador.</span><br></li>"
"tallar";"<li>tr. Dar forma o trabajar un material:<br><span class=""i"">tallar un diamante.</span> </li><li> Hacer obras de talla, escultura:<br><span class=""i"">Salzillo talló las mejores imágenes del Siglo de Oro.</span> </li><li> Medir la estatura de una persona:<br><span class=""i"">le tallaron para llamarle a filas.</span><br></li>"
"talonear";"<li>tr.<span class=""ac""> dep.</span> En rugby, golpear el balón con los talones para sacarlo de la melé. </li><li> <span class=""i"">amer.</span> Incitar el jinete a la caballería picándola con el talón. </li><li> <span class=""i"">amer.</span> Ejercer la prostitución.<br></li>"
"tambalear";"<li>intr. y prnl. Moverse una cosa a un lado y a otro por falta de estabilidad o equilibrio:<br><span class=""i"">su lectura hizo que se tambalearan todos sus esquemas.</span><br></li>"
"tangar";"<li>tr. <span class=""i"">col.</span> Engañar, estafar:<br><span class=""i"">a mí no me vuelves a tangar con ese cuento.</span> </li><li> prnl. <span class=""i"">col.</span> Escaquearse, evitar una responsabilidad o trabajo:<br><span class=""i"">siempre se tanga cuando hay que limpiar.</span><br></li>"
"tanguear";""
"tantear";"<li>tr. Reflexionar y considerar detenidamente una asunto antes de llevarlo a cabo. </li><li> Intentar averiguar las intenciones, opiniones o cualidades de una persona:<br><span class=""i"">tantéale a ver si lo sabe.</span> </li><li> Examinar un objeto con cuidado:<br><span class=""i""> tanteó la porcelana en busca de imperfecciones.</span> </li><li> Apuntar los tantos en el juego. También intr. </li><li> intr. Andar a tientas:<br><span class=""i"">tanteó por el pasillo hasta dar con el interruptor.</span><br></li>"
"tapar";"<li>tr. Cubrir o cerrar lo que está descubierto o abierto:<br><span class=""i"">tapa la olla para que rompa a hervir.</span> </li><li> Obturar o rellenar una abertura o hendidura:<br><span class=""i"">tapó las grietas con masilla.</span> </li><li> Cubrir algo para abrigarlo o protegerlo. También prnl.:<br><span class=""i"">se tapó la boca al salir del metro.</span> </li><li> Poner algo delante de una cosa de modo que esta quede oculta:<br><span class=""i"">apártate un poco, me tapas la televisión.</span> </li><li> Encubrir, ocultar un defecto:<br><span class=""i"">lleva años tapando sus líos de faldas.</span> </li><li> <span class=""i"">amer.</span> Atascar, atorar. También prnl.:<br><span class=""i"">se tapó la cañería del desagüe.</span> </li><li> <span class=""i"">amer.</span> Empastar las muelas.<br></li>"
"tapear";"<li>tr. Tomar tapas en bares o tabernas:<br><span class=""i"">los viernes por la noche tapea con sus amigos.</span><br></li>"
"tapiar";"<li>tr. Cerrar o rodear con tapias:<br><span class=""i"">tapiaron el cementerio el año pasado.</span> </li><li> Cerrar un hueco con un muro o tabique:<br><span class=""i"">tapiar una puerta.</span><br> ♦ Se conj. como <span class=""b"">cambiar</span>.<br></li>"
"tapiscar";""
"tapizar";"<li>tr. Forrar o revestir una superficie con tela u otro material que se adapte a ella:<br><span class=""i"">encargó que le tapizaran las sillas de terciopelo.</span> </li><li> Cubrir las paredes con tapices. </li><li> Cubrir por completo:<br><span class=""i"">las hojas de los árboles tapizan el suelo.</span><br> ♦ Se conj. como <span class=""b"">cazar</span>.<br></li>"
"taponar";"<li>tr. Cerrar un orificio con un tapón:<br><span class=""i"">la enfermera le taponó el navajazo hasta llegar a urgencias.</span> </li><li> Obstruir o atascar un conducto o tránsito:<br><span class=""i"">el accidente ha taponado el acceso a la M-40.</span><br></li>"
"tapujar";""
"taquear";""
"taracear";""
"tarar";"<li>tr. Señalar la tara de un recipiente o vehículo:<br><span class=""i"">han tarado los envases en 20 gramos.</span><br></li>"
"tararear";"<li>tr. Cantar la melodía de una canción sin pronunciar las palabras.<br></li>"
"tarascar";""
"tardar";"<li>intr. Detenerse o emplear demasiado tiempo en la ejecución de algo:<br><span class=""i"">si tardas en salir, perderás el tren.</span> También prnl. </li><li> Emplear cierto tiempo en la ejecución de algo:<br><span class=""i"">tardó más de una hora en arreglarlo.</span> </li><li> <span class=""b"">a más tardar</span> loc. adv. Señala el plazo máximo en que ha de suceder algo:<br><span class=""i"">iré la semana que viene, a más tardar.</span><br></li>"
"tardecer";""
"tarifar";"<li>intr. Reñir o enemistarse con alguien:<br><span class=""i"">si le hablas de política, acabaréis tarifando.</span><br></li>"
"tarificar";""
"tarjar";""
"tarjetear";""
"tarrear";""
"tartajear";"<li>intr. <span class=""b"">tartamudear.</span><br></li>"
"tartalear";""
"tartamudear";"<li>intr. Hablar con entrecortamiento involuntario de la fluidez y con repetición de sílabas o elementos lingüísticos:<br><span class=""i"">empezó a tartamudear cuando le ingresaron en un internado.</span><br></li>"
"tasajear";""
"tasar";"<li>tr. Determinar el valor o precio de algo:<br><span class=""i"">el banco tasó sus joyas en menos de dos millones.</span> </li><li> Fijar oficialmente el precio de una mercancía. </li><li> Poner medida o limitaciones a algo:<br><span class=""i"">le tasaron el consumo de sal hasta regular su tensión.</span><br></li>"
"tascar";""
"tasquear";"<li>intr. Frecuentar tascas y tabernas:<br><span class=""i"">los sábados queda con los amigos para tasquear.</span><br></li>"
"tatuar";"<li>tr. y prnl. Grabar dibujos sobre la piel humana, introduciendo materias colorantes indelebles bajo la epidermis o infligiendo pequeños cortes para formar cicatrices:<br><span class=""i"">si vas a tatuarte, exige que las agujas sean desechables.</span><br> ♦ Se conj. como <span class=""b"">actuar</span>.<br></li>"
"tazar";""
"teatralizar";"<li>tr. Dar forma teatral o representable a un tema o asunto:<br><span class=""i"">no es fácil teatralizar una novela tan extensa.</span> </li><li> Dar carácter espectacular o efectista a una actitud o expresión:<br><span class=""i"">su histrionismo es tan grande que teatraliza cada gesto.</span><br> ♦ Se conj. como <span class=""b"">cazar</span>.<br></li>"
"techar";"<li>tr. Cubrir una superficie con un techo:<br><span class=""i"">esta semana techarán por fin la última planta.</span><br></li>"
"teclear";"<li>intr. Mover o pulsar las teclas de un instrumento musical o de una máquina:<br><span class=""i"">teclea al dictado con mucha rapidez.</span> </li><li> Mover los dedos a la manera del que toca las teclas:<br><span class=""i"">está tecleando en el aire al ritmo de la música.</span><br></li>"
"tecnificar";"<li>tr. Introducir procedimientos técnicos en actividades donde no se empleaban:<br><span class=""i"">ha propuesto tecnificar la pequeña fábrica de curtidos.</span><br> ♦ Se conj. como <span class=""b"">sacar</span>.<br></li>"
"tejar";"<li>tr. Cubrir de tejas las casas y demás edificios:<br><span class=""i"">tenemos que tejar esta parte del tejado antes del invierno.</span><br></li>"
"tejer";"<li>tr. Formar en el telar un tejido con la trama y la urdimbre. </li><li> Entrelazar hilos, cordones, espartos u otro material flexible para formar diversos tipos de tejidos:<br><span class=""i"">voy a tejer esta rafia para hacer un cestillo.</span> </li><li> Hacer punto a mano o con tejedora:<br><span class=""i"">siempre está tejiendo patucos para su futura nieta.</span> </li><li> Formar ciertos animales sus telas y capullos:<br><span class=""i"">los gusanos de seda tejen sus propios capullos.</span> </li><li> Discurrir, formar planes o ideas:<br><span class=""i"">llevan todo el mes tejiendo planes para las vacaciones.</span><br></li>"
"telar";"<li>m. Máquina para tejer:<br><span class=""i"">ha comprado un pequeño telar para hacer tapices caseros.</span> </li><li> Fábrica de tejidos. Más en pl.:<br><span class=""i"">en los telares de Ezcaray compramos unas mantas estupendas.</span> </li><li> Parte superior del escenario de un teatro donde se recogen telones, bambalinas y demás elementos móviles del decorado:<br><span class=""i"">después de la reforma, el telar es más amplio y cómodo.</span><br></li>"
"telefonear";"<li>intr. Llamar a alguien por teléfono para comunicar con él:<br><span class=""i"">está todo el día telefoneando.</span> </li><li> tr. Comunicar algo por teléfono:<br><span class=""i"">si no quieres venir, te telefonearé la nota del examen.</span><br></li>"
"telegrafiar";"<li>tr. Comunicar o enviar un mensaje por medio del telégrafo:<br><span class=""i"">le telegrafiaron la repentina enfermedad de su hermano.</span><br> ♦ Se conj. como <span class=""b"">vaciar</span>.<br></li>"
"televisar";"<li>tr. Transmitir imágenes por televisión:<br><span class=""i"">van a televisar todas las corridas de la feria de san Isidro.</span><br></li>"
"temar";""
"temblar";"<li>intr. Agitarse con movimiento frecuente e involuntario:<br><span class=""i"">temblar de frío.</span> </li><li> Vacilar,  moverse rápidamente una cosa a uno y otro lado:<br><span class=""i""> </span><span class=""i"">el flan tiembla cuando se mueve un poco el plato.</span> </li><li> Tener mucho miedo o estar muy nervioso:<br><span class=""i"">tiemblo al pensar en lo que nos podía haber pasado.</span><br> ♦ <span class=""b"">Irreg.</span> Se conj. como <span class=""b"">acertar</span>.<br></li>"
"temblequear";"<li>intr. <span class=""i"">col.</span> Temblar mucho y repetidamente:<br><span class=""i"">temblequear de frío.</span><br></li>"
"temer";"<li>tr. Tener miedo o temor a una persona o cosa:<br><span class=""i"">los pastores temen un ataque de los lobos.</span> También intr. </li><li> Sospechar un daño u otra cosa negativa:<br><span class=""i"">temo que se hayan perdido.</span> </li><li> Creer,  opinar. También prnl.:<br><span class=""i"">me temo que te has equivocado.</span><br></li>"
"temperar";"<li>tr. Moderar,  debilitar,  suavizar. También prnl.:<br><span class=""i"">se le está temperando el carácter.</span> </li><li> <span class=""ac"">med.</span> Calmar el exceso de acción o de excitación orgánicas por medio de calmantes y antiespasmódicos:<br><span class=""i"">han conseguido temperar su crisis nerviosa a base de calmantes.</span> </li><li> intr. <span class=""i"">amer.</span> Cambiar temporalmente de clima o aires una persona por razones de salud o de placer.<br></li>"
"templar";"<li>tr. Quitar el frío de una cosa,  calentarla ligeramente:<br><span class=""i"">la leche estaba en la nevera,  te la voy a templar un poco.</span> </li><li> Moderar o suavizar la fuerza y la intensidad de alguna cosa:<br><span class=""i"">deberías templar un poco esos accesos de cólera que te dan.</span> </li><li> Enfriar bruscamente en un cuerpo líquido un material calentado por encima de determinada temperatura:<br><span class=""i"">templar el acero.</span> </li><li> Poner en tensión moderada una cosa:<br><span class=""i"">templar una cuerda.</span> </li><li> Sosegar un sentimiento o estado de ánimo violento o excitado:<br><span class=""i"">tómate la tila,  te templará un poco los nervios.</span> </li><li> Afinar un instrumento musical:<br><span class=""i"">templad los instrumentos antes de comenzar el concierto.</span> </li><li> <span class=""ac"">taurom.</span> Ajustar el movimiento de la capa o la muleta a la embestida del toro. </li><li> intr. Empezar a calentarse una cosa:<br><span class=""i"">el tiempo ha templado mucho.</span> También prnl. </li><li> prnl. Contenerse,  evitar los excesos:<br><span class=""i"">témplate,  no te convienen tantas emociones.</span> </li><li> <span class=""i"">amer.</span> Enamorarse,  amartelarse.<br></li>"
"temporizar";""
"tempranear";""
"tendear";""
"tender";"<li>tr. Desdoblar,  extender,  desplegar:<br><span class=""i"">tendió el mantel sobre la mesa.</span> </li><li> Colocar a una persona o animal sobre una superficie,  horizontalmente. También prnl.:<br><span class=""i"">se tendió en el sofá.</span> </li><li> Extender o colgar la ropa mojada para que se seque:<br><span class=""i"">antiguamente se subía a tender a la azotea.</span> </li><li> Suspender,  colocar una cosa apoyándola en dos o más puntos:<br><span class=""i"">tender un puente.</span> </li><li> intr. Demostrar una determinada tendencia u orientación.<br> ♦ Se construye con la prep. <span class=""i"">a:</span> <span class=""i"">tiende a ensimismarse. </span></li><li> Parecerse o acercarse a cierta cualidad o característica.<br> ♦ Se construye con la prep. <span class=""i"">a:</span> <span class=""i"">un amarillo que tiende a dorado.</span><br> ♦ <span class=""b"">Irreg.</span> Se conj. como <span class=""b"">entender</span>.<br></li>"
"tener";"<li>tr. Poseer una cosa o disfrutar de ella:<br><span class=""i"">tiene un apartamento en la playa.</span> </li><li> Corresponder a alguien una cualidad o estado:<br><span class=""i"">tiene mucha paciencia.</span> </li><li> Contener o comprender en sí:<br><span class=""i"">el libro no tiene ilustraciones.</span> </li><li> Disponer de una persona o una cosa:<br><span class=""i"">si quieres consejo,  me tienes a mí.</span> </li><li> Construido con algunos nombres,  hacer o experimentar lo que estos expresan:<br><span class=""i"">tener un día aburrido.</span> </li><li> Con los nombres que significan tiempo,  expresa duración o edad:<br><span class=""i"">tiene treinta años.</span> </li><li> Asir o mantener asida una cosa:<br><span class=""i"">ten fuerte la cuerda.</span> </li><li> Mantener,  sostener. También prnl.:<br><span class=""i"">no podía tenerse en pie.</span> </li><li> Dominar,  sujetar,  detener:<br><span class=""i"">ten la lengua.</span> También prnl. </li><li> Guardar,  cumplir:<br><span class=""i"">tener la promesa.</span> </li><li> Hospedar o recibir en su casa:<br><span class=""i"">tienen en casa a los abuelos.</span> </li><li> Estar en disposición de hacer una cosa u ocuparse de ella:<br><span class=""i"">tiene una junta a las seis.</span> </li><li> Juzgar,  reputar. También prnl.:<br><span class=""i"">tenerse por sabio.</span> </li><li> Estimar,  apreciar:<br><span class=""i"">tener a alguien en mucho.</span> También prnl. </li><li> prnl. Hacer asiento un cuerpo sobre otro:<br><span class=""i"">este taburete no se tiene bien.</span> </li><li> aux. Construido con un participio,  equivale a <span class=""i"">haber:</span> <span class=""i"">ya lo tengo elegido.</span> </li><li> Construido con la conjunción <span class=""i"">que</span> y el infinitivo de otro verbo,  ser preciso algo o estar obligado a algo:<br><span class=""i"">tendré que salir.</span> </li><li> <span class=""b"">(conque)</span> <span class=""b"">esas tenemos</span> loc. <span class=""i"">col.</span> Denota sorpresa y enfado ante la actitud de otra persona:<br><span class=""i"">¿esas tenemos? Pues si no ordenas tus cosas,  no sales esta tarde.</span> </li><li> <span class=""b"">no tener donde caerse muerto</span> loc. <span class=""i"">col.</span> Estar muy falto de recursos económicos:<br><span class=""i"">¿piensa casarse con ese pelagatos que no tiene donde caerse muerto?</span> </li><li> <span class=""b"">no tenerlas</span> alguien <span class=""b"">todas consigo</span> loc. <span class=""i"">col. </span>Sentir temor o recelo:<br><span class=""i"">aparentaba seguridad ante ella,  pero no las tenía todas consigo.</span> </li><li> <span class=""b"">no tener</span> alguien o algo <span class=""b"">por donde cogerlo</span> loc. <span class=""i"">col.</span> Ser muy malo. </li><li> <span class=""b"">quien tuvo,  retuvo</span> loc. Expresa que siempre se conserva algo de lo que en otro tiempo se tuvo,  especialmente algunas virtudes:<br><span class=""i"">sigue siendo guapísima,  y es que quien tuvo,  retuvo.</span> </li><li> <span class=""b"">tener a bien</span> loc. Estimar que alguna cosa es buena y conveniente o dignarse a hacerla:<br><span class=""i"">si usted tiene a bien quedarse,  nos gustaría que cenara con nosotros.</span> </li><li> <span class=""b"">tener</span> algo <span class=""b"">presente</span> loc.<span class=""b""></span> Recordar una cosa y tomarla en consideración:<br><span class=""i"">aún tengo muy presente lo que me hizo.</span> </li><li> <span class=""b"">tener que ver</span> una persona o cosa <span class=""b""> con</span> otra loc. Haber entre ellas alguna conexión,  relación o semejanza.<br> ♦ Se usa mucho en oraciones negativas.<br> ♦ <span class=""b"">Irreg.</span> Véase conj. modelo.<br></li>"
"tensar";"<li>tr. Poner tensa alguna cosa:<br><span class=""i"">tensar un cable.</span><br> ♦ Tiene doble p. p.: uno reg.,  <span class=""i"">tensado,  </span> y otro irreg.,  <span class=""i"">tenso.</span><br></li>"
"tensionar";""
"tentar";"<li>tr. Palpar,  tocar:<br><span class=""i"">tiéntate la cartera,  a ver si te la han quitado.</span> </li><li> Examinar y reconocer por medio del tacto lo que no se puede ver:<br><span class=""i"">fue tentando las paredes hasta que encontró el interruptor de la luz.</span> </li><li> Inducir o estimular a alguien,  generalmente a algo malo:<br><span class=""i"">sus amigos le tentaron con irse a jugar un partido.</span> </li><li> Resultar muy atractiva para alguien una cosa:<br><span class=""i"">rechazó esa oferta de trabajo,  aunque le tentaba mucho.</span> </li><li> <span class=""ac"">taurom.</span> Probar la bravura de una res brava con el fin de seleccionarla o cruzarla:<br><span class=""i"">la próxima semana tenemos que tentar a todas estas novillas.</span><br> ♦ <span class=""b"">Irreg.</span> Se conj. como <span class=""b"">acertar</span>.<br></li>"
"teorizar";"<li>tr. Tratar un asunto solo en teoría,  de forma abstracta y no concreta:<br><span class=""i"">está teorizando diversas formas de solucionar el problema.</span> </li><li> intr. Hacer abstracción sobre algo:<br><span class=""i"">muchos filósofos han teorizado sobre la existencia de Dios.</span><br> ♦ Se conj. como <span class=""b"">cazar</span>.<br></li>"
"terciar";"<li>intr. Interponerse,  mediar en una disputa o pelea para poner de acuerdo a las partes o tomar partido por una de ellas:<br><span class=""i"">el árbitro terció en la discusión de los dos jugadores.</span> </li><li> Intervenir en algo que ya habían comenzado otros:<br><span class=""i"">llegados a ese punto,  tuve que terciar en la conversación para dejar clara mi postura.</span> </li><li> tr. Poner una cosa atravesada diagonalmente:<br><span class=""i"">se terció el rifle a la espalda.</span> </li><li> Dividir una cosa en tres partes. </li><li> prnl. Venir bien una cosa,  disponerse bien:<br><span class=""i"">si se tercia,  hablaré con él.</span><br> ♦ Se conj. como <span class=""b"">cambiar</span>.<br></li>"
"tergiversar";"<li>tr. Desfigurar o interpretar erróneamente palabras o sucesos:<br><span class=""i"">no tergiverses mis palabras y no pongas en mi boca cosas que no he dicho.</span><br></li>"
"terminar";"<li>tr. Poner término a una cosa,  acabarla:<br><span class=""i"">por fin terminé el trabajo.</span> </li><li> Gastar,  agotar. También prnl.:<br><span class=""i"">se han terminado las galletas.</span> </li><li> Rematar algo con esmero:<br><span class=""i"">tienes que terminar mejor los bordes de esta mesa.</span> </li><li> intr. Tener término una cosa:<br><span class=""i"">la fiesta ya ha terminado. </span>También prnl. </li><li> Acabar con algo o destruirlo:<br><span class=""i"">ha conseguido terminar con la plaga de insectos de la plantación.</span> </li><li> Tener algo determinada forma o remate en su extremo:<br><span class=""i"">la vara terminaba en punta.</span> </li><li> <span class=""b"">terminar con</span> alguien loc. Dejar de tratarse con una persona:<br><span class=""i"">ha terminado con su novio.</span><br></li>"
"terraplenar";""
"tertuliar";""
"tesar";""
"testar";"<li>intr. Hacer testamento:<br><span class=""i"">sus padres murieron sin testar.</span><br></li>"
"testear";"<li>tr. <span class=""i"">amer.</span> Someter a una persona o una cosa a un test:<br><span class=""i"">testear un motor.</span><br></li>"
"testificar";"<li>tr. Declarar como testigo en un acto judicial:<br><span class=""i"">se ha negado a testificar en el juicio.</span> </li><li> Afirmar o probar una cosa mediante testigos o documentos:<br><span class=""i"">los fiscales testificaron que el acusado era cómplice del secuestro.</span> </li><li> Ser prueba o demostración de algo:<br><span class=""i"">los hallazgos arqueológicos testifican que aquí existió una villa romana.</span><br> ♦ Se conj. como <span class=""b"">sacar</span>.<br></li>"
"testimoniar";"<li>tr. Servir de testigo:<br><span class=""i"">a pesar de los malos tratos a que la sometía,  no testimoniará contra su esposo.</span> </li><li> Atestiguar,  dar muestra o demostración de alguna cosa:<br><span class=""i"">quiero testimoniarte mi agradecimiento de alguna forma.</span><br> ♦ Se conj. como <span class=""b"">cambiar</span>.<br></li>"
"tijeretear";""
"tildar";"<li>tr. Señalar a alguien con una nota o calificativo negativos:<br><span class=""i"">le tildaron de orgulloso.</span> </li><li> Poner tilde a las letras que lo necesitan:<br><span class=""i"">tienes que tildar también las letras mayúsculas.</span><br></li>"
"timar";"<li>tr. Quitar o hurtar con engaño:<br><span class=""i"">me han timado el reloj entre la aglomeración.</span> </li><li> Engañar a otro en una compra o contrato:<br><span class=""i"">me timaron cuando compré este electrodoméstico.</span><br></li>"
"timbrar";"<li>tr. Estampar un timbre,  sello o membrete. </li><li> Dar el timbre adecuado a la voz:<br><span class=""i"">antes de comenzar la conferencia timbró la voz.</span> </li><li> Poner el timbre en el escudo de armas. </li><li> intr. <span class=""i"">col.</span> Tocar el timbre.<br></li>"
"timonear";"<li>intr. Gobernar el timón. </li><li> Dirigir un negocio o asunto:<br><span class=""i"">timonea la empresa con mano firme.</span><br></li>"
"tincar";""
"tintar";"<li>tr. Aplicar una sustancia para cambiar el color original de una cosa,  teñir.<br></li>"
"tintinear";""
"tinturar";""
"tipear";""
"tipificar";"<li>tr. Ajustar varias cosas semejantes a un tipo o norma común:<br><span class=""i"">la reforma monetaria tipificará todas las monedas europeas.</span> </li><li> Representar una persona o cosa el tipo de la especie o clase a que pertenece:<br><span class=""i"">sus ideas y actitudes tipifican toda una clase social.</span><br> ♦ Se conj. como <span class=""b"">sacar</span>.<br></li>"
"tiquear";""
"tiranizar";"<li>tr. Gobernar un tirano algún Estado:<br><span class=""i"">con sus métodos dictatoriales llegará a tiranizar la nación.</span> </li><li> Dominar con tiranía:<br><span class=""i"">los padres se quejan de que el profesor tiraniza a sus alumnos.</span><br> ♦ Se conj. como <span class=""b"">cazar</span>.<br></li>"
"tirantear";""
